Topaz_ID	 WEPP_ID	 OFEs	 Area_cells	Soil_File	Management_File	Slope_file
1062	243	12	210	soil/68563_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H243.slp
1063	244	11	202	soil/68563_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H244.slp
1072	245	3	95	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H245.slp
1073	246	7	200	soil/68563_7.sl	man/ww_barley_fallow_Int_Precip_mt_7.man	slope/H246.slp
1082	247	3	65	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H247.slp
1083	248	3	65	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H248.slp
1092	249	5	32	soil/68563_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H249.slp
1093	250	1	7	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H250.slp
1101	251	11	112	soil/68563_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H251.slp
1102	252	1	19	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H252.slp
1103	253	1	11	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H253.slp
